Team,Division,Games,Number,Player,Position,Height,Goals,Assists,Ds,Turnovers
Texas (TUFF),Men's,5,17,DUFF NEUBAUER,,,,,,
Texas (TUFF),Men's,5,18,David Miller,,"6'5""",2,,,
Texas (TUFF),Men's,5,19,JONATHAN CLUTTON,,,,,,
Texas (TUFF),Men's,5,20,CHASE CUNNINGHAM,,"6'3""",3,15,,
Texas (TUFF),Men's,5,21,JOEL CLUTTON,,,6,5,,
Texas (TUFF),Men's,5,23,Matt Mihovil,,"6'1""",1,1,,
Texas (TUFF),Men's,5,24,DANNY MURRAY,,,,,,
Texas (TUFF),Men's,5,27,DEREK TINKER,,,1,,,
Texas (TUFF),Men's,5,29,Logan Kinney,,,4,1,,
Texas (TUFF),Men's,5,31,LUKE SIMERLY,,"6'2""",4,,,
Texas (TUFF),Men's,5,32,JOSH BRUNELLI,,,,1,,
Texas (TUFF),Men's,5,34,CARLOS VARGAS,,,1,6,,
Texas (TUFF),Men's,5,93,CHRIS SCHULTZ,,"6'2""",7,,,
Texas (TUFF),Men's,5,96,KEIVAUN WAUGH,,,,1,,
Whitman (Whitman Sweets),Women's,6,0,SARAH ADAMS,,"5'3""",,,,
Whitman (Whitman Sweets),Women's,6,0,JESSIE AUSTIN,,,,,,
Whitman (Whitman Sweets),Women's,6,0,CARLY BUSCH,,,,,,
Whitman (Whitman Sweets),Women's,6,0,Kaitie  Dong,,,1,,,
Whitman (Whitman Sweets),Women's,6,0,Sarah Finger,,"5'4""",,,,
Whitman (Whitman Sweets),Women's,6,0,Nina Finley,,"5'6""",8,7,,
Whitman (Whitman Sweets),Women's,6,0,Alex Hardesty,,,3,4,,
Whitman (Whitman Sweets),Women's,6,0,Kiana Henny,,,,,,
Whitman (Whitman Sweets),Women's,6,0,JESSICA KOSTELNIK,,"5'0""",,1,,
Whitman (Whitman Sweets),Women's,6,0,MARY KUPER,,,,,,
Whitman (Whitman Sweets),Women's,6,0,Mia Letterie,,,,,,
Whitman (Whitman Sweets),Women's,6,0,MARTA PICOTO,,,,,,
Whitman (Whitman Sweets),Women's,6,0,LAURA REA,,,,,,
Whitman (Whitman Sweets),Women's,6,0,SERENA SANDERS,,"5'11""",,,,
Whitman (Whitman Sweets),Women's,6,0,Caitlin Scott,,"5'5""",2,,,
Whitman (Whitman Sweets),Women's,6,0,Lindsey Scott,,"5'4""",1,,,
Whitman (Whitman Sweets),Women's,6,0,LINNEA SOO,,"5'4""",,,,
Whitman (Whitman Sweets),Women's,6,0,ALISSA SOO,,,5,1,,
Whitman (Whitman Sweets),Women's,6,0,WHITNEY WOOD,,,,,,
Whitman (Whitman Sweets),Women's,6,6,JESSICA SHATKIN,,,7,2,,
Whitman (Whitman Sweets),Women's,6,7,Arianne Lozano,,"5'6""",6,3,,
Whitman (Whitman Sweets),Women's,6,9,BRENNA BAILEY,,,6,10,,
Whitman (Whitman Sweets),Women's,6,10,JULIA BLADIN,,,4,23,,
Whitman (Whitman Sweets),Women's,6,16,JULIA GESENSWAY,,,,,,
Whitman (Whitman Sweets),Women's,6,20,ANNIE WANT,,,3,3,,
Whitman (Whitman Sweets),Women's,6,22,MELANIE JOCHHEIM-ATKINS,,,2,3,,
Whitman (Whitman Sweets),Women's,6,28,CLAIRE REVERE,,"5'5""",11,5,,
Whitman (Whitman Sweets),Women's,6,33,MARGO HEFFRON,,"5'11""",3,7,,
Whitman (Whitman Sweets),Women's,6,42,ELISSA PICOZZI,,,,,,
Whitman (Whitman Sweets),Women's,6,54,MARLENA SLOSS,,,10,4,,
Georgia (Jojah),Men's,5,0,DEREK COOPER,,"5'8""",,,,
Georgia (Jojah),Men's,5,0,SEBASTIAN DI FRANCESCO,,,4,6,,
Georgia (Jojah),Men's,5,0,ELLIOTT ERICKSON,,"5'9""",8,13,,
Georgia (Jojah),Men's,5,0,RILEY  ERICKSON,,,7,2,,
Georgia (Jojah),Men's,5,0,NATHAN HASKELL,,,3,13,,
Georgia (Jojah),Men's,5,0,JOHN LANGSTAFF,,,2,1,,
Georgia (Jojah),Men's,5,0,JOSEPH LAVINE,,"6'1""",,,,
Georgia (Jojah),Men's,5,0,GINO MATTACE,,,,,,
Georgia (Jojah),Men's,5,0,VASIA MISHIN,,,,,,
Georgia (Jojah),Men's,5,0,RYAN PAPPAFOTIS,,"5'9""",2,,,
Georgia (Jojah),Men's,5,0,NEAL RAINES,,,4,3,,
Georgia (Jojah),Men's,5,0,MATTHEW ROBINSON,,"1'0""",,,,
Georgia (Jojah),Men's,5,3,CHRIS ROGERS,,,,,,
Georgia (Jojah),Men's,5,4,AIDAN ROGERS,Handler,"5'9""",,,,
Georgia (Jojah),Men's,5,7,PARKER BRAY,,"6'0""",11,7,,
Georgia (Jojah),Men's,5,9,SAMUEL LITTLE,,,7,8,,
Georgia (Jojah),Men's,5,10,ADAM BURGESS,Mid,"6'0""",,,,
Georgia (Jojah),Men's,5,12,ANDREW BERECZ,,,,,,
Georgia (Jojah),Men's,5,13,MICHAEL PETERS,,,2,,,
Georgia (Jojah),Men's,5,21,SHERYAR ALI,,"5'11""",1,,,
Georgia (Jojah),Men's,5,28,TYLER HASKELL,,,,,,
Georgia (Jojah),Men's,5,34,GEORGE SUMMERS,,,,,,
Georgia (Jojah),Men's,5,38,SOHAUM PAUL,,"5'10""",9,4,,
Georgia (Jojah),Men's,5,77,WRIGHT (WILLIAM) DICKERSON,,,1,4,,
Georgia (Jojah),Men's,5,82,SAM BATSON,,,,,,
Florida State (Seminole Ladies),Women's,5,0,LISA FITTON,,"5'4""",9,9,,
Florida State (Seminole Ladies),Women's,5,3,DANA SCHWARZ,,,5,2,,
Florida State (Seminole Ladies),Women's,5,4,ZOE STAPLETON,,,,,,
Florida State (Seminole Ladies),Women's,5,5,KATIE DOOLEY,,,,,,
Florida State (Seminole Ladies),Women's,5,9,JULIA GREGORY,,,7,,,
Florida State (Seminole Ladies),Women's,5,11,DANIELLE CRAM,,,,2,,
Florida State (Seminole Ladies),Women's,5,12,LARISSA FERREIRA,,,14,3,,
Florida State (Seminole Ladies),Women's,5,17,CAROLINA GONZALEZ-LLANOS,,,2,,,
Florida State (Seminole Ladies),Women's,5,32,CONNIE BARROSO,,,2,1,,
Florida State (Seminole Ladies),Women's,5,33,KRISTIN LLOYD,,"5'7""",,3,,
Florida State (Seminole Ladies),Women's,5,38,REBECCA WILLIAMS,,,2,,,
Florida State (Seminole Ladies),Women's,5,42,ALLEIGH GROVER,,,1,11,,
Florida State (Seminole Ladies),Women's,5,44,Gabby Sehres,,,,,,
Florida State (Seminole Ladies),Women's,5,46,SARAH KIBLER,,"5'4""",1,,,
Florida State (Seminole Ladies),Women's,5,50,GENTRY MADDOX,,,,,,
Florida State (Seminole Ladies),Women's,5,52,SKYLAR TAGGART,,,,11,,
Florida State (Seminole Ladies),Women's,5,66,Hayley Plants,,,1,,,
Florida State (Seminole Ladies),Women's,5,76,LAUREN BRUNNER,,,2,1,,
Florida State (Seminole Ladies),Women's,5,81,KARI TOMARELLI,,,7,10,,
Florida State (Seminole Ladies),Women's,5,85,RACHAEL THOMPSON,,"5'7""",,,,
Minnesota (Grey Duck),Men's,5,0,JOSH KAUTZ,Mid,,5,1,,
Minnesota (Grey Duck),Men's,5,1,RYAN OSGAR,Deep,"6'1""",16,11,,
Minnesota (Grey Duck),Men's,5,2,JOSH KLANE,Handler,"5'9""",9,14,,
Minnesota (Grey Duck),Men's,5,3,CONNOR ANDERSON,Defense (Cutter),,3,1,,
Minnesota (Grey Duck),Men's,5,4,BEN JAGT,Defense (Cutter),"6'4""",13,9,,
Minnesota (Grey Duck),Men's,5,5,CARSON MILLER,Defense (Cutter),,,,,
Minnesota (Grey Duck),Men's,5,8,JAMES NGUYEN,Defense (Cutter),"5'7""",1,,,
Minnesota (Grey Duck),Men's,5,12,CLOID GREEN,Mid,,,,,
Minnesota (Grey Duck),Men's,5,13,TONY POLETTO,Defense (Handler),"5'8""",1,3,,
Minnesota (Grey Duck),Men's,5,14,ALEXANDER PLATT-KOCH,Mid,,1,1,,
Minnesota (Grey Duck),Men's,5,18,BRANDON HAUS,Deep,,1,,,
Minnesota (Grey Duck),Men's,5,19,PATRICK HYLAND,Defense (Handler),,,,,
Minnesota (Grey Duck),Men's,5,20,BLAKE TRANTINA,Defense (Cutter),,2,,,
Minnesota (Grey Duck),Men's,5,21,GRANT  KREGNESS,Mid,"5'11""",,,,
Minnesota (Grey Duck),Men's,5,23,SAURAV DUBEY,Defense (Handler),,,,,
Minnesota (Grey Duck),Men's,5,24,ISAAC RUFF,Defense (Cutter),,1,1,,
Minnesota (Grey Duck),Men's,5,25,REESE HORNNES,Defense (Cutter),,2,1,,
Minnesota (Grey Duck),Men's,5,28,GREG CEPURAN,Mid,,,,,
Minnesota (Grey Duck),Men's,5,33,ADAM MECKSTROTH,Defense (Cutter),"6'2""",,,,
Minnesota (Grey Duck),Men's,5,36,Donald Wood,Defense (Handler),"5'8""",2,,,
Minnesota (Grey Duck),Men's,5,40,NEIL PETERSEN,Defense (Cutter),"6'0""",,1,,
Minnesota (Grey Duck),Men's,5,48,WYATT MEKLER,Handler,"1'0""",5,7,,
Minnesota (Grey Duck),Men's,5,77,SOHAM SHAH,Handler,,1,7,,
Minnesota (Grey Duck),Men's,5,88,TYLER MAHONY,Defense (Cutter),"6'0""",1,,,
Minnesota (Grey Duck),Men's,5,93,JUSTIN  HILL,Handler,,,1,,
Minnesota (Grey Duck),Men's,5,99,TRISTAN VAN DE MOORTELE,Defense (Handler),"5'9""",,5,,
Ohio State (Fever),Women's,5,0,Rachael Beeman,,"5'6""",2,,,
Ohio State (Fever),Women's,5,0,Tiffany Lim,,,,,,
Ohio State (Fever),Women's,5,0,TAMARA MCCLURE,,,,,,
Ohio State (Fever),Women's,5,0,KELLY RUSIN,,,,,,
Ohio State (Fever),Women's,5,0,EMILY STEEDMAN,,,,,,
Ohio State (Fever),Women's,5,1,Jacqueline Matonis,,,1,1,,
Ohio State (Fever),Women's,5,2,CATELEN RAMSEY,,"5'5""",3,,,
Ohio State (Fever),Women's,5,3,ALAINE WETLI,,,9,4,,
Ohio State (Fever),Women's,5,5,STEPHANIE MILLER,,"5'6""",2,16,,
Ohio State (Fever),Women's,5,6,MICHELLE HABLITZEL,,,,,,
Ohio State (Fever),Women's,5,8,Lily Mae Abels,,,,,,
Ohio State (Fever),Women's,5,10,KELLY ROSS,,,2,,,
Ohio State (Fever),Women's,5,11,SADIE JEZIERSKI,,"5'5""",3,12,,
Ohio State (Fever),Women's,5,12,KATIE BACKUS,,,3,5,,
Ohio State (Fever),Women's,5,13,Celestia Starner Starner,,,,,,
Ohio State (Fever),Women's,5,15,Clare Pruitt,,,,,,
Ohio State (Fever),Women's,5,16,Corinn Pruitt,,,3,2,,
Ohio State (Fever),Women's,5,19,JENNA GALLETTA,,"5'4""",3,1,,
Ohio State (Fever),Women's,5,20,ERIKA HAYASAKA,,"5'3""",,,,
Ohio State (Fever),Women's,5,21,AMANDA BACKUS,,,,,,
Ohio State (Fever),Women's,5,22,Mary Turner,,"5'5""",5,1,,
Ohio State (Fever),Women's,5,23,Jenny Samiec,,,,,,
Ohio State (Fever),Women's,5,25,ALORA REIFF,,,,,,
Ohio State (Fever),Women's,5,28,Stacy Lu,,,,,,
Ohio State (Fever),Women's,5,29,Yeri McClain,,,,,,
Ohio State (Fever),Women's,5,35,GRACE ALLWEIN,,,,,,
Ohio State (Fever),Women's,5,37,Sarah Bushman,,,1,,,
Ohio State (Fever),Women's,5,38,Claudia Moeller,,,,,,
Ohio State (Fever),Women's,5,44,MALIKA SMOOT,,"1'0""",1,1,,
Ohio State (Fever),Women's,5,45,Torie Broer,,,,,,
Ohio State (Fever),Women's,5,47,Amy Zwarycz,,,,,,
Ohio State (Fever),Women's,5,50,Zoe Bliss,,,,,,
Ohio State (Fever),Women's,5,71,CAITLIN DUFFNER,,,3,,,
Ohio State (Fever),Women's,5,88,MICKELLEA TENNIS,,,1,1,,
Ohio State (Fever),Women's,5,95,Kristen Behrens,,"5'11""",1,,,
North Carolina-Wilmington (Seamen),Men's,5,,JONATHAN CALLAHAN,,"5'9""",,1,,
North Carolina-Wilmington (Seamen),Men's,5,,GABRIEL FULLER,,,,,,
North Carolina-Wilmington (Seamen),Men's,5,,Rick Hennighausen,,,,,,
North Carolina-Wilmington (Seamen),Men's,5,,KEVIN MATEER,,,,,,
North Carolina-Wilmington (Seamen),Men's,5,,Carl Matysek,,"5'11""",,,,
North Carolina-Wilmington (Seamen),Men's,5,,Carlton  Rouse,,,,,,
North Carolina-Wilmington (Seamen),Men's,5,,JAMES ROYAL,,,,,,
North Carolina-Wilmington (Seamen),Men's,5,,GRAYSON SANNER,,"5'7""",2,,,
North Carolina-Wilmington (Seamen),Men's,5,,WILLIE STEWART,,"6'2""",,,,
North Carolina-Wilmington (Seamen),Men's,5,,John  Wright,,,,,,
North Carolina-Wilmington (Seamen),Men's,5,0,JASON ALEXANDER,,,1,,,
North Carolina-Wilmington (Seamen),Men's,5,0,Erik Esposto,,,7,1,,
North Carolina-Wilmington (Seamen),Men's,5,0,JACOB GALLAGHER,,"6'0""",5,3,,
North Carolina-Wilmington (Seamen),Men's,5,0,KYLE GIBBONS,,,,,,
North Carolina-Wilmington (Seamen),Men's,5,0,WILKIN HANAWAY,,,3,,,
North Carolina-Wilmington (Seamen),Men's,5,0,LUKE HANCOCK,,"5'11""",,11,,
North Carolina-Wilmington (Seamen),Men's,5,0,JAMES HARUM,,,1,,,
North Carolina-Wilmington (Seamen),Men's,5,0,CHARLIE LIAN,,,3,6,,
North Carolina-Wilmington (Seamen),Men's,5,0,MATT MASON,,,5,4,,
North Carolina-Wilmington (Seamen),Men's,5,0,XAVIER MAXSTADT,,,4,18,,
North Carolina-Wilmington (Seamen),Men's,5,0,AUSTIN MCGRAYNE,,,8,5,,
North Carolina-Wilmington (Seamen),Men's,5,0,DANIEL MERCER,,,,1,,
North Carolina-Wilmington (Seamen),Men's,5,0,CALE WARD,,"5'11""",5,4,,
North Carolina-Wilmington (Seamen),Men's,5,0,Kyle Warfel,,"6'0""",,,,
North Carolina-Wilmington (Seamen),Men's,5,0,JACK WILLIAMS,,,15,7,,
North Carolina-Wilmington (Seamen),Men's,5,99,PARKER GRISSOM,,"6'0""",2,,,
Texas (Melee),Women's,5,0,MARISSA LAND,,,2,1,,
Texas (Melee),Women's,5,3,DOMENICA SUTHERLAND,,"5'5""",4,3,,
Texas (Melee),Women's,5,5,ANDREA ESPARZA,,,9,6,,
Texas (Melee),Women's,5,6,Rachel Arthur,,,3,2,,
Texas (Melee),Women's,5,7,KELLY LAVINE,,"5'3""",2,14,,
Texas (Melee),Women's,5,10,Gabriella Cuina,,,1,,,
Texas (Melee),Women's,5,11,Wendy Sun,,,,,,
Texas (Melee),Women's,5,12,Rachel Wong,,"5'6""",,,,
Texas (Melee),Women's,5,14,Kimberly Sun,Dump,,2,,,
Texas (Melee),Women's,5,15,SYDNEY OVERMAN,,,5,2,,
Texas (Melee),Women's,5,17,KATIE HERBERS,,"5'8""",2,2,,
Texas (Melee),Women's,5,18,LAUREN MCKENNA,,,10,4,,
Texas (Melee),Women's,5,20,SUSAN GILBERT,,,3,3,,
Texas (Melee),Women's,5,23,Laura  Gerencser,,,3,1,,
Texas (Melee),Women's,5,26,LAURA HICKMAN,,,,3,,
Texas (Melee),Women's,5,29,MEGHAN RUTLEDGE,,,1,1,,
Texas (Melee),Women's,5,89,SHIRU LIU,,,1,6,,
Texas A&M (Dozen),Men's,5,0,Brendan Adams,,"6'1""",,,,
Texas A&M (Dozen),Men's,5,0,CASEY ALDRIDGE,,"6'2""",,,,
Texas A&M (Dozen),Men's,5,0,Jonathan Barnes,,,,,,
Texas A&M (Dozen),Men's,5,0,MATTHEW BENNETT,,"5'8""",8,24,,
Texas A&M (Dozen),Men's,5,0,Michael Bryant,,,,,,
Texas A&M (Dozen),Men's,5,0,SCOTT CAMPBELL,,"6'4""",,,,
Texas A&M (Dozen),Men's,5,0,CONNOR COLE,,"6'2""",1,,,
Texas A&M (Dozen),Men's,5,0,CHARLES COLEMAN,,"1'0""",,,,
Texas A&M (Dozen),Men's,5,0,Jon Corser,,,,,,
Texas A&M (Dozen),Men's,5,0,Marshall Dinges,,"6'2""",,,,
Texas A&M (Dozen),Men's,5,0,Carter Hollo,,,4,,,
Texas A&M (Dozen),Men's,5,0,RYAN  JONES,,"5'7""",,,,
Texas A&M (Dozen),Men's,5,0,KEVIN LAND,,"6'3""",3,2,,
Texas A&M (Dozen),Men's,5,0,ROBERT LEWIS,,,5,7,,
Texas A&M (Dozen),Men's,5,0,BENJAMIN LEWIS,,"6'2""",15,,,
Texas A&M (Dozen),Men's,5,0,Zach Marbach,,"5'11""",1,,,
Texas A&M (Dozen),Men's,5,0,Nick Ochoa,,,2,,,
Texas A&M (Dozen),Men's,5,0,EVAN PARIZOT,,"4'8""",,1,,
Texas A&M (Dozen),Men's,5,0,JARED SCHUELER,,,,,,
Texas A&M (Dozen),Men's,5,0,Jonathan Shaffer,,,,,,
Texas A&M (Dozen),Men's,5,0,THOMAS SLACK,,"5'8""",14,3,,
Texas A&M (Dozen),Men's,5,0,IAN SMITH,,,,4,,
Texas A&M (Dozen),Men's,5,0,DAVID SMITH,,,,,,
Texas A&M (Dozen),Men's,5,0,DALTON SMITH,,"5'10""",2,23,,
Texas A&M (Dozen),Men's,5,0,Carson Smith,,,7,,,
Texas A&M (Dozen),Men's,5,0,AARON SUNSTRUM,,,,,,
Texas A&M (Dozen),Men's,5,0,David  Thompson,,"5'10""",1,,,
Texas A&M (Dozen),Men's,5,0,CONNOR UGHETTA,,"5'10""",,,,
Texas A&M (Dozen),Men's,5,0,Jamie Wall,,,,,,
Victoria (UVixens),Women's,5,0,MAIRIN BEREZAN,,,,,,
Victoria (UVixens),Women's,5,0,KIRA BEUKEBOOM,,,,,,
Victoria (UVixens),Women's,5,0,TASHA CAMERON,,,3,2,,
Victoria (UVixens),Women's,5,0,CORINNE DUNWOODY,,"5'8""",4,23,,
Victoria (UVixens),Women's,5,0,Patricia Massel,,,1,,,
Victoria (UVixens),Women's,5,0,ALEXANDRA OMAND,,,6,3,,
Victoria (UVixens),Women's,5,0,LILLIAN PHAM,,,2,4,,
Victoria (UVixens),Women's,5,0,Paige Quinn,,,1,1,,
Victoria (UVixens),Women's,5,0,NAOMI REDMOND,,"5'7""",7,8,,
Victoria (UVixens),Women's,5,0,KATE SCARTH,,"1'0""",19,14,,
Victoria (UVixens),Women's,5,0,MONICA WHITNEY-BROWN,,,,,,
Victoria (UVixens),Women's,5,0,Natasha Wong,,,3,,,
Victoria (UVixens),Women's,5,5,Olivia Chow,,"5'6""",,1,,
Victoria (UVixens),Women's,5,6,Kimberly Hansen,,,,,,
Victoria (UVixens),Women's,5,11,Daisy Petrucci,,,2,,,
Victoria (UVixens),Women's,5,15,Haijia Zuo,,"5'5""",1,,,
Victoria (UVixens),Women's,5,17,Maasa Lebus,,,,,,
Victoria (UVixens),Women's,5,18,Alix Shuparski,,,2,1,,
Victoria (UVixens),Women's,5,20,Katrina MacLean,,,1,,,
Victoria (UVixens),Women's,5,23,EMILY GARNER,,"5'6""",,,,
Victoria (UVixens),Women's,5,25,KATIE SIMONS-LANE,,"5'6""",2,,,
Victoria (UVixens),Women's,5,28,Alicia Fall,,"5'5""",,,,
Victoria (UVixens),Women's,5,35,Sarah von der Weid,,"5'3""",3,,,
Victoria (UVixens),Women's,5,37,Wendy Fleming,,,,,,
Victoria (UVixens),Women's,5,88,maya hamel,,,,,,
Victoria (UVixens),Women's,5,96,Audrey Piper Arroliga,,"5'10""",,,,
Auburn (Auburn),Men's,5,0,Robert Alongi,,,1,,,
Auburn (Auburn),Men's,5,0,CHRIS ATCHISON,,,,,,
Auburn (Auburn),Men's,5,0,Evan Caldwell,,"5'10""",3,3,,
Auburn (Auburn),Men's,5,0,Vincent Chu,,,,,,
Auburn (Auburn),Men's,5,0,TED COOK,,,,,,
Auburn (Auburn),Men's,5,0,John Davidson,,"5'9""",,,,
Auburn (Auburn),Men's,5,0,Andrew Dillon,,"6'2""",,,,
Auburn (Auburn),Men's,5,0,Chandler Foster,,,,,,
Auburn (Auburn),Men's,5,0,Jacob Helf,,,1,,,
Auburn (Auburn),Men's,5,0,James Hershey,,,2,,,
Auburn (Auburn),Men's,5,0,PHILLIP LANGLAND,,"5'10""",,,,
Auburn (Auburn),Men's,5,0,JAMES MISSILDINE,,"5'10""",2,1,,
Auburn (Auburn),Men's,5,0,Samuel Murphree,,,1,,,
Auburn (Auburn),Men's,5,0,Connor  Romanelli,,,,,,
Auburn (Auburn),Men's,5,0,ERIC SJOSTROM,,"6'0""",5,12,,
Auburn (Auburn),Men's,5,0,Jimmie Taylor,,,,,,
Auburn (Auburn),Men's,5,0,Jared Waters,,"6'0""",,,,
Auburn (Auburn),Men's,5,0,REID WILLIAMS,,"1'8""",,,,
Auburn (Auburn),Men's,5,0,HANK WOMBLE,,,,,,
Auburn (Auburn),Men's,5,0,Matthew Zheng,,,,,,
Auburn (Auburn),Men's,5,2,KEITH MIZE,,,3,,,
Auburn (Auburn),Men's,5,3,BLAKE GALLOWAY,,,3,5,,
Auburn (Auburn),Men's,5,4,LOGAN ROBINSON,,,,,,
Auburn (Auburn),Men's,5,6,Garris Bugg,,,,3,,
Auburn (Auburn),Men's,5,9,Dustin Register,,,1,1,,
Auburn (Auburn),Men's,5,12,RYAN LANDRY,,,3,9,,
Auburn (Auburn),Men's,5,23,Martin Newman,,"6'0""",5,2,,
Auburn (Auburn),Men's,5,27,Michael Volz,,,11,1,,
Auburn (Auburn),Men's,5,28,REID THACKERSON,,,,,,
Auburn (Auburn),Men's,5,34,ZAC CAIN,,"6'0""",1,,,
Auburn (Auburn),Men's,5,85,EVAN BOECKING,,"7'3""",4,15,,
Auburn (Auburn),Men's,5,89,ANDREW MONTGOMERY,,"5'7""",1,,,
Central Florida (Central Florida),Women's,5,,Mia Griner,,"5'4""",4,4,,
Central Florida (Central Florida),Women's,5,0,Alyssa Alejandro,,,,,,
Central Florida (Central Florida),Women's,5,0,Brooke Bayer,,,,,,
Central Florida (Central Florida),Women's,5,0,NICOLE FELDMAN,,"5'5""",2,,,
Central Florida (Central Florida),Women's,5,0,FELICIA PEREZ,,"5'0""",,,,
Central Florida (Central Florida),Women's,5,0,TIA PERSAUD,,,,,,
Central Florida (Central Florida),Women's,5,0,Nicole Wellman,,,,,,
Central Florida (Central Florida),Women's,5,0,STEPHANIE WILLIAMS,,"3'8""",5,22,,
Central Florida (Central Florida),Women's,5,0,Seairra Wisniewski,,"5'3""",,,,
Central Florida (Central Florida),Women's,5,0,ALEXA WOOD,,,13,4,,
Central Florida (Central Florida),Women's,5,1,Liliana Sanchez,,"5'2""",,,,
Central Florida (Central Florida),Women's,5,3,jamie collins,,"5'10""",,,,
Central Florida (Central Florida),Women's,5,4,JESSE BALDWIN,,,8,,,
Central Florida (Central Florida),Women's,5,7,ASHLEY GILBERT,,,,,,
Central Florida (Central Florida),Women's,5,8,SHAYNA BROCK,,,11,11,,
Central Florida (Central Florida),Women's,5,11,Janina Freystaetter,,"5'9""",6,13,,
Central Florida (Central Florida),Women's,5,18,KATHERINE DAVIDSEN,,,2,,,
Central Florida (Central Florida),Women's,5,20,LARISSA CURRAN,,,,,,
Central Florida (Central Florida),Women's,5,23,Gabriela Tamayo,,,,,,
Central Florida (Central Florida),Women's,5,24,Mary Wheeler,,,,,,
Central Florida (Central Florida),Women's,5,26,SHELBY SPENCE,,,1,,,
Central Florida (Central Florida),Women's,5,28,Alexus Davenport,,,,,,
Central Florida (Central Florida),Women's,5,31,Alexis Kerwood,,,,,,
Central Florida (Central Florida),Women's,5,36,Chloe Baldino,,,,,,
Central Florida (Central Florida),Women's,5,72,Kathryn Dougherty,,,,,,
Central Florida (Central Florida),Women's,5,88,EMILY HAYES,,"1'0""",,,,
Central Florida (Central Florida),Women's,5,99,ZOE ROHR,,,,,,
Illinois (Illinois Ultimate),Men's,5,0,ERIC BADGER,,"9'7""",,,,
Illinois (Illinois Ultimate),Men's,5,0,KEVIN BIRCHOK,,"5'7""",1,1,,
Illinois (Illinois Ultimate),Men's,5,0,CHRIS BUCHTA,,"6'3""",,,,
Illinois (Illinois Ultimate),Men's,5,0,ERIC BULTMAN,,,2,1,,
Illinois (Illinois Ultimate),Men's,5,0,TYLER DENOOYER,,"1'0""",4,2,,
Illinois (Illinois Ultimate),Men's,5,0,Jarred Elliott,,"6'2""",7,2,,
Illinois (Illinois Ultimate),Men's,5,0,Ben Foster,,,1,1,,
Illinois (Illinois Ultimate),Men's,5,0,GRANT HALLAN,,,2,,,
Illinois (Illinois Ultimate),Men's,5,0,ZI YANG KAN,,,1,,,
Illinois (Illinois Ultimate),Men's,5,0,Jacob  KOMENDA,,"6'0""",,,,
Illinois (Illinois Ultimate),Men's,5,0,KEVIN LIN,,"6'0""",,1,,
Illinois (Illinois Ultimate),Men's,5,0,SCOTT LUNARDINI,,"6'0""",,1,,
Illinois (Illinois Ultimate),Men's,5,0,MARTIN MARKENSON,,,2,10,,
Illinois (Illinois Ultimate),Men's,5,0,JONATHAN MCKOY,,,7,2,,
Illinois (Illinois Ultimate),Men's,5,0,JOE MOYLES,,,1,,,
Illinois (Illinois Ultimate),Men's,5,0,PRAYAG  PATEL,,"1'0""",1,10,,
Illinois (Illinois Ultimate),Men's,5,0,MARK PETERSON,,,1,1,,
Illinois (Illinois Ultimate),Men's,5,0,MICHAEL POHLING,,,1,,,
Illinois (Illinois Ultimate),Men's,5,0,NICK PROZOROVSKY,,"5'10""",24,4,,
Illinois (Illinois Ultimate),Men's,5,0,JOHN SANIAT,,,2,10,,
Illinois (Illinois Ultimate),Men's,5,0,WILSON WANG,,"5'9""",,,,
Illinois (Illinois Ultimate),Men's,5,0,Matt West,,"6'0""",1,11,,
Illinois (Illinois Ultimate),Men's,5,0,MAX WILLIS,,"6'2""",2,1,,
Princeton (Clockwork Orange),Women's,5,0,Karen Feng,,,,,,
Princeton (Clockwork Orange),Women's,5,1,LYRA OLSON,Handler,,1,11,,
Princeton (Clockwork Orange),Women's,5,2,SALLY YU,,,5,1,,
Princeton (Clockwork Orange),Women's,5,3,YUNZHI LIU,,"5'4""",7,1,,
Princeton (Clockwork Orange),Women's,5,4,Evelyn Ding,,,,,,
Princeton (Clockwork Orange),Women's,5,5,Susannah Crowell,,,,,,
Princeton (Clockwork Orange),Women's,5,7,JEAN WANG,,,5,1,,
Princeton (Clockwork Orange),Women's,5,8,JANE URHEIM,,"1'0""",13,9,,
Princeton (Clockwork Orange),Women's,5,9,SHERRY LI,,"5'5""",1,8,,
Princeton (Clockwork Orange),Women's,5,10,NANCY WU,,,,,,
Princeton (Clockwork Orange),Women's,5,11,Tianay Zeigler,,,5,1,,
Princeton (Clockwork Orange),Women's,5,12,EMILY ROGERS,,,,,,
Princeton (Clockwork Orange),Women's,5,13,LU YIN,,,,,,
Princeton (Clockwork Orange),Women's,5,14,VICTORIA HIGGINS,,"5'6""",2,4,,
Princeton (Clockwork Orange),Women's,5,15,Katherine Pizano,,"5'0""",,,,
Princeton (Clockwork Orange),Women's,5,16,Pleasant Garner,,,,,,
Princeton (Clockwork Orange),Women's,5,18,Sonia Howlett,,,,,,
Princeton (Clockwork Orange),Women's,5,21,Margaret Wang,,,,,,
Princeton (Clockwork Orange),Women's,5,23,Julianna Wright,,,,,,
Princeton (Clockwork Orange),Women's,5,26,Lindsey Conlan,,"1'0""",,,,
Princeton (Clockwork Orange),Women's,5,30,RACHEL ROBERTS,,"5'0""",,,,
Princeton (Clockwork Orange),Women's,5,31,Linhchi Nguyen,,,,,,
